model,image_id,response_index,layer,label,category,attention_visual_mass,attention_visual_mass_status,I_visual_write_norm,R_ffn_response_norm,S_ffn_sensitivity,D_direction_cosine,R_signed_q_sum,A_logit_total,A_margin_total
internvl_2_5_8b,599,9,8,REAL,cat,,NOT RUN: raw mass not persisted,3.5162787437438965,3.1229918003082275,0.888152539730072,-0.5215442776679993,3.1229922771453857,-0.11405529081821442,-0.0339936837553978
internvl_2_5_8b,599,9,16,REAL,cat,,NOT RUN: raw mass not persisted,9.453001022338867,6.846168518066406,0.7242322564125061,-0.29358041286468506,6.846168518066406,-0.08524307608604431,-0.10193759948015213
internvl_2_5_8b,599,9,24,REAL,cat,,NOT RUN: raw mass not persisted,2.265205144882202,0.7285950183868408,0.3216463625431061,-0.05955570191144943,0.728594958782196,0.0004356998251751065,0.003363432362675667
internvl_2_5_8b,599,9,32,REAL,cat,,NOT RUN: raw mass not persisted,19.81460952758789,9.902327537536621,0.4997487962245941,-0.013247944414615631,9.902328491210938,-0.1129448190331459,0.02491695061326027
internvl_2_5_8b,599,241,8,HALL,dining table,,NOT RUN: raw mass not persisted,1.739971399307251,2.0177218914031982,1.1596293449401855,-0.4352981448173523,2.0177218914031982,0.0482705794274807,-0.09007594734430313
internvl_2_5_8b,599,241,16,HALL,dining table,,NOT RUN: raw mass not persisted,7.041056156158447,4.58492374420166,0.6511698961257935,-0.32914066314697266,4.58492374420166,-0.019986895844340324,0.06004044786095619
internvl_2_5_8b,599,241,24,HALL,dining table,,NOT RUN: raw mass not persisted,0.49131613969802856,0.20595486462116241,0.41919010877609253,0.021337036043405533,0.20595486462116241,0.003882122226059437,0.00035630929050967097
internvl_2_5_8b,599,241,32,HALL,dining table,,NOT RUN: raw mass not persisted,3.4689481258392334,2.462196111679077,0.7097817659378052,0.06074221432209015,2.462196111679077,0.017913008108735085,-0.0098091010004282
internvl_2_5_8b,14038,52,8,REAL,refrigerator,,NOT RUN: raw mass not persisted,3.479674816131592,2.9163551330566406,0.838111400604248,-0.4526338577270508,2.9163548946380615,-0.030428512021899223,-0.001321251504123211
internvl_2_5_8b,14038,52,16,REAL,refrigerator,,NOT RUN: raw mass not persisted,14.77455997467041,7.479465961456299,0.5062395334243774,-0.25349855422973633,7.479466915130615,-0.14579454064369202,-0.07488292455673218
internvl_2_5_8b,14038,52,24,REAL,refrigerator,,NOT RUN: raw mass not persisted,11.726505279541016,3.5589394569396973,0.303495317697525,-0.08693227171897888,3.5589401721954346,0.004873838275671005,-0.019583582878112793
internvl_2_5_8b,14038,52,32,REAL,refrigerator,,NOT RUN: raw mass not persisted,15.584691047668457,7.410382270812988,0.47549113631248474,0.06463560461997986,7.410383224487305,-0.07464814186096191,-0.04190314933657646
internvl_2_5_8b,14038,201,8,HALL,remote,,NOT RUN: raw mass not persisted,1.5379165410995483,1.3905701637268066,0.9041908979415894,-0.5398062467575073,1.3905702829360962,0.010867901146411896,0.030411694198846817
