model,family,head,method,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,native,svar_native,svar,0.8618532398452611,0.0009483619064927567,0.4366880371478725,0.009050160699694365
qwen2_5_vl_7b,native,metatoken_lr,metatoken,0.8597225580270792,0.0,0.5080159297148633,0.0
qwen2_5_vl_7b,native,metatoken_gb,metatoken,0.8622159090909091,4.9353033179899644e-05,0.5085514235589134,0.005801164808187356
qwen2_5_vl_7b,shared_mlp_fixed,svar,svar,0.8621101305609283,0.0025871535975619743,0.4362998149220723,0.015647149123478636
qwen2_5_vl_7b,shared_mlp_fixed,metatoken,metatoken,0.7577772404900065,0.013528630628958052,0.2580297005093178,0.016463698824557463
qwen2_5_vl_7b,shared_mlp_fixed,visual_only,visual_only,0.8492807059961315,0.005343349108214112,0.45815194613688665,0.0039723988901724724
qwen2_5_vl_7b,shared_mlp_fixed,all_attention,all_attention,0.8516380560928433,0.007211361026384519,0.4611245697194035,0.009944357782165032
qwen2_5_vl_7b,shared_mlp_single,svar,svar,0.8653565240167634,0.0031543520067373906,0.4973316976808677,0.011326877597737659
qwen2_5_vl_7b,shared_mlp_single,metatoken,metatoken,0.8747380722114766,0.003274926431259589,0.533098123647269,0.006788704277559169
qwen2_5_vl_7b,shared_mlp_single,visual_only,visual_only,0.8671119439071567,0.0030566027247185155,0.5346742606242462,0.005586326384097467
qwen2_5_vl_7b,shared_mlp_single,all_attention,all_attention,0.871091231463572,0.0039060738121435823,0.5389738427208312,0.0063221977260462135
llava_1_5_7b,native,svar_native,svar,0.9068118236913495,0.00017912286655337342,0.7236788285158106,0.00017839118041021725
llava_1_5_7b,native,metatoken_lr,metatoken,0.9020792672516245,0.0,0.7232311493722924,0.0
llava_1_5_7b,native,metatoken_gb,metatoken,0.8990161058682138,2.8537531488194606e-05,0.7137475961534175,5.7681581429084145e-05
llava_1_5_7b,shared_mlp_fixed,svar,svar,0.9089409719316217,0.0005490687390942193,0.7270493209999133,0.0028525930853832964
llava_1_5_7b,shared_mlp_fixed,metatoken,metatoken,0.8815410212546575,0.0010275402027764354,0.6789169302453169,0.0030267193978481886
llava_1_5_7b,shared_mlp_fixed,visual_only,visual_only,0.8984224439898988,0.0007536074563639722,0.7169131180083004,0.0027851371948939465
llava_1_5_7b,shared_mlp_fixed,all_attention,all_attention,0.9062482912692648,0.0011319718814514408,0.7506301449607848,0.0020271669197648224
llava_1_5_7b,shared_mlp_single,svar,svar,0.9104993343621984,0.00013773414965411772,0.7314468714735699,0.0028668863485267074
llava_1_5_7b,shared_mlp_single,metatoken,metatoken,0.9067203194168721,0.001942515381411654,0.7256286852336199,0.005126590427861533
llava_1_5_7b,shared_mlp_single,visual_only,visual_only,0.9000550141552649,0.0008359750682181942,0.7167749513346395,0.0005590342993304845
llava_1_5_7b,shared_mlp_single,all_attention,all_attention,0.9051759058086244,0.0010102158937816414,0.7497288274862796,0.003190588777508172
qwen3_vl_8b,native,svar_native,svar,0.8895394695177067,0.0012893654049547212,0.6824765762383485,0.003510421807855146
qwen3_vl_8b,native,metatoken_lr,metatoken,0.8768459505673869,0.0,0.6580153881857772,0.0
qwen3_vl_8b,native,metatoken_gb,metatoken,0.8828969261504626,0.00016371793814076922,0.68877206138797,0.002820786295263355
qwen3_vl_8b,shared_mlp_fixed,svar,svar,0.8939582361780403,0.005902685371015759,0.6928778645636444,0.012929245560327676
qwen3_vl_8b,shared_mlp_fixed,metatoken,metatoken,0.8223188017801729,0.008187868231997037,0.4992842888310756,0.018193765098097517
qwen3_vl_8b,shared_mlp_fixed,visual_only,visual_only,0.9029411426038193,0.002353752379965979,0.7158528788685289,0.0047762452760889305
qwen3_vl_8b,shared_mlp_fixed,all_attention,all_attention,0.9277898682142425,0.0013758682960634612,0.7645577507462457,0.0006303860486875412
