model,group,AUROC,HALL_AUPR
qwen2_5_vl_7b,AE_I,0.8703200019755386,0.4447104727599143
qwen2_5_vl_7b,B,0.8810337711267978,0.46009274016930124
qwen2_5_vl_7b,AE_I_SC,0.8745162576243444,0.4533039817415779
qwen2_5_vl_7b,B_SC,0.8810126046418103,0.4509001844840973
qwen2_5_vl_7b,B_JS_TE,0.8750930443402583,0.4495093938060696
qwen2_5_vl_7b,B_JS_TC,0.8826671182183465,0.4601377905174129
qwen2_5_vl_7b,B_OT_TE,0.8797426155425498,0.4479299202617608
qwen2_5_vl_7b,B_OT_TC,0.8726659540616721,0.44745625451125765
qwen2_5_vl_7b,F,0.8821379560936546,0.4577398864795778
qwen2_5_vl_7b,F_C,0.8815100170390205,0.47162165485157254
llava_1_5_7b,AE_I,0.9026757794300722,0.7183999872259409
llava_1_5_7b,B,0.9061321319826627,0.717329299670704
llava_1_5_7b,AE_I_SC,0.9072230938985424,0.7203658125613175
llava_1_5_7b,B_SC,0.9046140454546243,0.7182205200963719
llava_1_5_7b,B_JS_TE,0.9048571245021945,0.7184540495506979
llava_1_5_7b,B_JS_TC,0.9068564496684575,0.7267373909074609
llava_1_5_7b,B_OT_TE,0.9052541536132253,0.7235803592383258
llava_1_5_7b,B_OT_TC,0.9079563823587118,0.7234159010808924
llava_1_5_7b,F,0.9049595649579559,0.7192761451308152
llava_1_5_7b,F_C,0.9048212414046959,0.7200845609442705
qwen3_vl_8b,AE_I,0.886480879479129,0.6322599159493502
qwen3_vl_8b,B,0.8967473349818937,0.6649201130916326
qwen3_vl_8b,AE_I_SC,0.8971394083088674,0.6730121513703246
qwen3_vl_8b,B_SC,0.9000189862280386,0.6691763698620387
qwen3_vl_8b,B_JS_TE,0.9040176710844378,0.6850486867834785
qwen3_vl_8b,B_JS_TC,0.8903101546991686,0.6456003930876644
qwen3_vl_8b,B_OT_TE,0.8998275803518782,0.6742135215627985
qwen3_vl_8b,B_OT_TC,0.8819855426819667,0.6305405271686393
qwen3_vl_8b,F,0.8965096212324687,0.6493415488427583
qwen3_vl_8b,F_C,0.8942227840910845,0.6492025911358827
internvl_2_5_8b,AE_I,0.8631486119863709,0.549897101590305
internvl_2_5_8b,B,0.8704758713136729,0.537155076020587
internvl_2_5_8b,AE_I_SC,0.8677822223171656,0.5439358541138113
internvl_2_5_8b,B_SC,0.8695960127319142,0.555811589362625
internvl_2_5_8b,B_JS_TE,0.8774913749826432,0.5861100477021807
internvl_2_5_8b,B_JS_TC,0.8738511103040919,0.5504847778296866
internvl_2_5_8b,B_OT_TE,0.8707896296850134,0.5504919518928961
internvl_2_5_8b,B_OT_TC,0.8675412291851361,0.5579911317004872
internvl_2_5_8b,F,0.8638121775632056,0.5461541422582844
internvl_2_5_8b,F_C,0.855203181910428,0.5262117459963012
